,ATLaS_ID,variable,VT_PBIF,VT_AIF,VT_Rebalanced,VT_PRED_SLOPE
398,1003,ctx-lh-parstriangularis,4.81092086926668,7.74555860126951,0.0641546200299976,6.564065866025078
420,1003,ctx-lh-pericalcarine,4.84721656982286,7.98957477137965,0.0112514479095205,6.613588062622879
442,1003,ctx-lh-postcentral,4.09882096607364,7.51533987876832,-0.123171698225632,5.59247003338323
464,1003,ctx-lh-posteriorcingulate,5.03263400677104,7.86846694531295,0.0819991505059075,6.866573364587099
486,1003,ctx-lh-precentral,4.55381491449044,7.39012344966579,-0.0267471510968567,6.213268073344743
508,1003,ctx-lh-precuneus,4.66669084367841,8.22666166248522,0.0054831273393396,6.3672770570742045
530,1003,ctx-lh-rostralanteriorcingulate,4.95371008883674,7.8435199693915,0.0922972266793087,6.758888825638432
552,1003,ctx-lh-rostralmiddlefrontal,4.26561276643727,6.60899707896943,-0.0696687871116819,5.820042340900036
574,1003,ctx-lh-superiorfrontal,4.35583020126051,6.82374441645769,-0.05295804450722,5.943135860942455
596,1003,ctx-lh-superiorparietal,4.1484718271587,7.3940176897704,-0.114391703724646,5.660214137126279
618,1003,ctx-lh-superiortemporal,4.33015544271969,6.88890728900615,-0.043638725564065,5.9081049779294235
640,1003,ctx-lh-supramarginal,4.17410654411447,6.5400485925864,-0.100118316136555,5.695190387022534
662,1003,ctx-lh-frontalpole,3.1717451331182,3.60186263198875,-0.313475114453947,4.327559012045406
684,1003,ctx-lh-temporalpole,4.4491257815192,7.92030641026549,0.064809262346563,6.0704292316855115
706,1003,ctx-lh-transversetemporal,4.89857828360332,5.86679212263032,0.0640433445915751,6.683666469939991
728,1003,ctx-lh-insula,4.84963289157952,7.23950846624923,0.106309693239188,6.616884914846233
750,1003,ctx-rh-bankssts,4.5552189403161,6.67054416925669,0.0224604344514041,6.215183739440211
772,1003,ctx-rh-caudalanteriorcingulate,4.90762844931171,6.58928252025491,0.124359862018624,6.696014601497883
794,1003,ctx-rh-caudalmiddlefrontal,4.203444166412,6.37650371677196,-0.0753914298193286,5.735218915935525
816,1003,ctx-rh-cuneus,4.63119205501142,7.02311047039373,-0.027129761387188,6.318842174583662
838,1003,ctx-rh-entorhinal,4.6588321509648,7.57645612770554,0.139435217822,6.356554582522082
860,1003,ctx-rh-fusiform,4.54160306694367,7.47918937846325,0.0053257408252028,6.19660611322918
882,1003,ctx-rh-inferiorparietal,4.01373340982655,6.79272056007114,-0.116767511017051,5.476375768114189
904,1003,ctx-rh-inferiortemporal,4.33754963152277,7.19982862894751,-0.0035791094084533,5.9181936789594705
926,1003,ctx-rh-isthmuscingulate,4.81790563165126,7.48470554660171,0.0556592532729414,6.573595941783298
948,1003,ctx-rh-lateraloccipital,4.20200230107846,6.7765670861396,-0.0987303774294528,5.733251621258169
970,1003,ctx-rh-lateralorbitofrontal,4.85709059301471,8.50333150038819,0.1147156150318,6.627060273111312
992,1003,ctx-rh-lingual,4.66246411806531,7.56619011420641,-0.0254909379721029,6.36151007273255
1014,1003,ctx-rh-medialorbitofrontal,4.65490042612119,7.31378519012467,0.0554050027456372,6.351190100016163
1036,1003,ctx-rh-middletemporal,3.82786936287664,6.19548359596243,-0.128587067246481,5.22278110724604
1058,1003,ctx-rh-parahippocampal,4.4735890426464,8.53300117831296,-0.0029922400841217,6.1038071361866075
1080,1003,ctx-rh-paracentral,4.95126927516295,7.550493933735,0.0709012107980946,6.755558556412056
1102,1003,ctx-rh-parsopercularis,4.35451930728309,6.59370834382453,-0.0236027196820688,5.941347264820219
1124,1003,ctx-rh-parsorbitalis,3.96706693980163,6.0618643302473,-0.101925909640427,5.412703595716735
1146,1003,ctx-rh-parstriangularis,4.15562393386157,6.21328114122613,-0.0586993374881273,5.669972539052693
1168,1003,ctx-rh-pericalcarine,4.85879029523577,7.49319151647822,0.0421879170542581,6.629379362872888
1190,1003,ctx-rh-postcentral,3.77925531299293,5.75434622406275,-0.162024642624758,5.156451638497255
1212,1003,ctx-rh-posteriorcingulate,4.97920928004226,7.69983203809672,0.0923251418429227,6.793680162921207
1234,1003,ctx-rh-precentral,4.29517786420939,6.44547572647478,-0.0549222773916229,5.860381239498725
1256,1003,ctx-rh-precuneus,4.63774900146545,7.65944900223431,-0.0057672824382436,6.327788534246157
1278,1003,ctx-rh-rostralanteriorcingulate,4.81244330616431,7.07215190620365,0.136424143156091,6.5661430933053575
1300,1003,ctx-rh-rostralmiddlefrontal,4.01082880583491,6.12550244206725,-0.12952700848073,5.472412698998328
1322,1003,ctx-rh-superiorfrontal,4.21792001516583,6.50720118458411,-0.064907708947632,5.7549699006781285
1344,1003,ctx-rh-superiorparietal,4.03157027058408,7.02739158836446,-0.135857360154727,5.500712549374404
1366,1003,ctx-rh-superiortemporal,3.89870696246323,6.19975072058782,-0.115526485282047,5.3194325970778324
1388,1003,ctx-rh-supramarginal,3.98555744564145,6.09153881863409,-0.119113907128391,5.437932216499933
1410,1003,ctx-rh-frontalpole,3.69606041427393,5.23943892976407,-0.177953691737594,5.042939733032878
1432,1003,ctx-rh-temporalpole,4.32233458416385,7.05625966803548,0.0523782474816954,5.89743412465945
1454,1003,ctx-rh-transversetemporal,4.69710870492327,6.99296923504939,0.0284264376361092,6.408779474208184
1476,1003,ctx-rh-insula,4.54417723647428,6.64896329389755,0.0632616530760668,6.200118334445949
1498,1003,Left-Cerebellum-Cortex,4.52187451754479,7.62574115974885,0.0036522902179144,6.169688294122519
1520,1003,Left-Thalamus-Proper,5.1588794784722,7.9276794463073,0.245785923743033,7.038823878377017
1542,1003,Left-Caudate,3.9103870233078,4.15304013434222,-0.152637515164334,5.33536898239498
1564,1003,Left-Putamen,4.65071426495861,7.12729387276507,0.0215731027689614,6.345478462193869
1586,1003,Left-Pallidum,4.89892106591171,6.35727826314505,0.224852747724386,6.684134165358628
1608,1003,Left-Hippocampus,4.60268207884306,7.24703856691045,0.0757168085598956,6.279942893865199
1630,1003,Left-Amygdala,4.6328917643505,6.82177066621122,0.191075104917364,6.321161274057133
1652,1003,Left-Accumbens-area,4.51004533915663,6.39788788350164,0.0649279865328305,6.153548451420704
1674,1003,Left-VentralDC,5.2127918107619,8.32310258763857,0.387461209908625,7.1123823736749365
1696,1003,Right-Cerebellum-Cortex,4.24347694295882,6.98692363119302,-0.0691933534785519,5.789840014306084
1718,1003,Right-Thalamus-Proper,5.16449079300316,7.89840654202571,0.233049081199032,7.046480008913584
1740,1003,Right-Caudate,4.07550945740748,4.59329238432737,-0.125833768674711,5.560663590816569
1762,1003,Right-Putamen,4.70418704879193,7.45311112756623,0.0083397184728711,6.418437233427022
1784,1003,Right-Pallidum,4.75160950041427,7.22308732092417,0.175888073468813,6.4831408742551195
1806,1003,Right-Hippocampus,4.71035650081071,7.21700560421895,0.129527511018209,6.42685489202275
1828,1003,Right-Amygdala,4.63020337980691,6.78038964394099,0.2140196736779,6.317493216798062
1850,1003,Right-Accumbens-area,4.986526223016,7.77964914356111,0.128779626968768,6.803663469012231
1872,1003,Right-VentralDC,4.94004161828741,7.13512259147436,0.31717150338538,6.740239435342536
3,1004,ctx-lh-bankssts,5.029029888038153,4.9024427546699165,0.1686879698919444,4.949771856169251
25,1004,ctx-lh-caudalanteriorcingulate,4.37852483083489,4.51395799885069,-0.0482981405869695,4.309518826037319
47,1004,ctx-lh-caudalmiddlefrontal,4.3472108357464,4.26498111068832,-0.0403538479562626,4.27869834275447
69,1004,ctx-lh-cuneus,4.53224459890775,4.41833230009303,0.032286417236314,4.460815954645304
91,1004,ctx-lh-entorhinal,3.88130909173846,3.79460557768038,-0.107109541145048,3.8201392584833886
113,1004,ctx-lh-fusiform,4.30554945428045,4.2024232074545,-0.006237809036161,4.2376935489751
135,1004,ctx-lh-inferiorparietal,4.53093172349198,4.43560579202285,0.0299836520396624,4.459523770282055
